Nivel,Facultad,Carrera,Código,Asignatura,Créditos,Requisitos
1,Administración en Hotelería y Turismo,Hotelería y Administración,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Administración en Hotelería y Turismo,Hotelería y Administración,HU705,Crítica y Comunicación,3,
1,Administración en Hotelería y Turismo,Hotelería y Administración,HO193,Introducción a la Hotelería,3,
1,Administración en Hotelería y Turismo,Hotelería y Administración,MA754,Matemática Básica,4,
1,Administración en Hotelería y Turismo,Hotelería y Administración,HU713,Pensamiento Crítico Aplicado,3,
1,Administración en Hotelería y Turismo,Hotelería y Administración,HU706,Sistemas y Sociedad,3,
2,Administración en Hotelería y Turismo,Hotelería y Administración,MA755,Cálculo,4,MA754
2,Administración en Hotelería y Turismo,Hotelería y Administración,AD2758,Fundamentos De La Gerencia,3,HU705
2,Administración en Hotelería y Turismo,Hotelería y Administración,AM237,Introducción al Marketing,3,
2,Administración en Hotelería y Turismo,Hotelería y Administración,TU83,Introducción al Turismo,3,
2,Administración en Hotelería y Turismo,Hotelería y Administración,HO204,Operaciones de Alojamiento I,3,HO193
2,Administración en Hotelería y Turismo,Hotelería y Administración,HO215,"Selección, Sanidad e Higiene de Alimentos y Bebida",3,
3,Administración en Hotelería y Turismo,Hotelería y Administración,AD2785,Análisis Ins. De La Realidad Peruana Y Global,3,
3,Administración en Hotelería y Turismo,Hotelería y Administración,MA718,Estadística Descriptiva,4,MA755
3,Administración en Hotelería y Turismo,Hotelería y Administración,HO207,Operaciones de Alojamiento II,3,HO193
3,Administración en Hotelería y Turismo,Hotelería y Administración,HO206,Operaciones y Servicio de Alimentos y Bebidas,3,HO193
3,Administración en Hotelería y Turismo,Hotelería y Administración,HO214,Panadería y Pastelería,3,"HO215,36CRED"
3,Administración en Hotelería y Turismo,Hotelería y Administración,TU82,Turismo Sostenible,3,TU83
4,Administración en Hotelería y Turismo,Hotelería y Administración,HO200,Diseño y Equipamiento de Hoteles y Restaurantes,3,HO204
4,Administración en Hotelería y Turismo,Hotelería y Administración,MA719,Estadística Inferencial,4,MA718
4,Administración en Hotelería y Turismo,Hotelería y Administración,HU703,Fundamentos de la Investigación Académica,4,HU713
4,Administración en Hotelería y Turismo,Hotelería y Administración,CA200,Introducción A La Contabilidad Financiera,4,MA754
4,Administración en Hotelería y Turismo,Hotelería y Administración,AF237,Macroeconomía,3,AD2785
4,Administración en Hotelería y Turismo,Hotelería y Administración,HO205,Principios y Técnicas Culinarias,3,HO214
5,Administración en Hotelería y Turismo,Hotelería y Administración,HO208,Control de Costos de Alimentos y Bebidas,3,HO206
5,Administración en Hotelería y Turismo,Hotelería y Administración,DE1167,Derecho De Los Negocios,4,AD2758
5,Administración en Hotelería y Turismo,Hotelería y Administración,HO201,Investigación de Mercados,4,"MA719,AM237"
5,Administración en Hotelería y Turismo,Hotelería y Administración,AF240,Matemática Financiera,4,CA200
5,Administración en Hotelería y Turismo,Hotelería y Administración,MA710,Métodos Cuantitativos,3,MA718
5,Administración en Hotelería y Turismo,Hotelería y Administración,AF241,Teoría Microeconómica,3,"AF237,MA754"
